quest_id,stage_id,stage_order,when,condition_status,objective,role,show_in_journal,optional,route_mode,target_kind,target_scene,runtime_event,trigger_type,target_object,world_x,world_y,battle_group,item_dependency,reads_var,writes_var,stage_result,evidence,notes
side_colored_marble,talk_aling,10,var[505] == 0 && var[1009] == 1 && var[1010] == 0,A,继续与哭泣的阿铃交谈，直到她说出布娃娃的事情。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0101,23,MANUAL_EB,猛哭,378,466,,,4501,505|1008|1009|1010|4501,Var4501循环；最终Var505=1、Var1008=1、Var1010=1,程序静态A,
side_colored_marble,find_aping,20,var[505] == 1 && var[1008] == 1,A,找到躲起来的阿平，问清布娃娃被藏在哪里。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0101,37,MANUAL_EB,躲起小鬼,1788,182,,,,1004|1005|1006|1007|1008,开启Var1004~1007调查点,程序静态A,
side_colored_marble,find_doll,30,var[505] == 1 && var[1007] == 1,A,调查孩子附近的藏物点，找到布娃娃。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0101,41,MANUAL_EB,ng0101-05.SF2,962,417,,,,505|1007,Var505=2,程序静态A,
side_colored_marble,return_aling,40,var[505] == 2 && var[1010] == 1,A,把布娃娃带回给阿铃。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0101,24,MANUAL_EB,不哭了,379,465,,彩石彈珠,505|667,505,Var505=3；ADD Item451 彩石弹珠,程序静态A,
side_sheepskin_scroll,buy_scroll,10,var[25] == 0 && var[1227] == 1,A,在首次兰州阶段向神秘商人购买羊皮封卷。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0212,31,MANUAL_EB,badguy,685,628,,羊皮封卷,999,25|999|1227,支付350两；Var25=1；Item423,程序静态A,
side_rescue_aji,ask_mother,10,var[504] == 0 && var[1072] == 1,A,与阿吉母亲交谈，得知阿吉不见。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0101,36,MANUAL_EB,阿平老媽,1049,811,,,1|504,504,Var504=1,程序静态A,
side_rescue_aji,optional_clues,20,var[504] == 1,A,四个孩子的对话是线索提示，并非硬性门槛。,optional_clue,0,1,condition_graph,EVENT_MANUAL,mp0101,32,MANUAL_EB,聊天四小鬼之右,730,729,,,1|503|504|667,503,可选线索；Var503不是阿吉任务进度,程序静态A,
side_rescue_aji,world_trigger,30,var[504] == 1,A,离开河州后在世界地图前往“救小鬼”触发点。,trigger,1,0,condition_graph,EVENT_TOUCH,mp3001,12,TOUCH_EA,救小鬼,2801,1710,101,,504,504|1013,进入mp2503a；Battle101,程序静态A,
side_pansha_switch,pull_switch,20,var[1120] == 1,A,拉动地牢密道开关。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0604,22,MANUAL_EB,密道開關,883,888,,,,1120|1121,Var1120=0；Var1121=255,程序静态A,
side_blood_spirit_orb,aling_missing,10,var[667] == 0 && var[1013] == 1 && var[505] == 3 && var[1] > 30,A,完成阿吉和彩石弹珠后，在河州得知阿铃失踪。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0101,43,MANUAL_EB,阿平,1860,1202,,,1|505|667,667,Var667=1,程序静态A,
side_blood_spirit_orb,ask_exorcist,20,var[667] == 1,A,在兰州向侠客/驱邪者打听阿铃与蛇妖。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0202,28,MANUAL_EB,中俠客,710,545,,,1|667,667,Var667=2,程序静态A,
side_blood_spirit_orb,snake_event,30,var[667] == 2,A,在世界地图触发蛇妖事件，选择“一切以阿铃性命为重”。,trigger,1,0,condition_graph,EVENT_TOUCH,mp3001,42,TOUCH_EA,snake,3044,1436,182,血靈神珠|彩石彈珠,667|999,667|999|1010|1217,Battle182；消耗Item451；取得Item426；Var667=3,程序静态A,
