来源场景,RuntimeEventID,触发类型,目标对象,世界X,世界Y,目标场景,跳转类型,Opcode,已证明必要条件,条件完整性,条件证据等级,来源资源,依赖GameVar,含瞬时变量或运行时结果,可用于提前Route筛选,v0.5说明
mp0000,4,,,,,mp0101,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/Mp0000/Mp0000.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0101,12,,,,,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] > 3 && var[1] != 4 && var[1] == 5,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0101/Mp0101.EVE,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0101,12,,,,,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] > 3 && var[1] != 4 && var[1] != 5 && var[1] >= 6,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0101/Mp0101.EVE,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0101,13,MANUAL_EB,夏侯儀家出入口,1222,409,mp0102a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0101/Mp0101.EVE,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0101,15,MANUAL_EB,夏侯儀抄家出入口,1224,406,mp0104a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] < 32 && var[1] != 31 && var[1] != 3 && var[1] < 5,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0101/Mp0101.EVE,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0101,15,MANUAL_EB,夏侯儀抄家出入口,1224,406,mp0104a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] < 32 && var[1] == 31,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0101/Mp0101.EVE,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0101,17,MANUAL_EB,藥舖出入口,689,355,mp0107a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0101/Mp0101.EVE,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0101,18,,,,,mp0105,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] < 40 && var[1] < 31 && var[1] >= 2 && var[1] == 2,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0101/Mp0101.EVE,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0101,19,MANUAL_EB,晾衣服的女人,1296,1243,mp0105,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0101/Mp0101.EVE,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0102a,12,TOUCH_EA,下方往廚房,667,398,mp0102c,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0102a/Mp0102a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0102a,13,TOUCH_EA,往外的出入口,326,494,mp0102c,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0102a/Mp0102a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0102a,14,,,,,mp0101,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] >= 1,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0102a/Mp0102a.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0102b,12,MANUAL_EB,桌上記錄點,180,418,mp0102c,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0102b/Mp0102b.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0102c,12,TOUCH_EA,上方往客廳,147,428,mp0102b,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0102c/Mp0102c.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0102c,13,TOUCH_EA,下方往客廳,348,498,mp0102a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0102c/Mp0102c.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0102c,14,TOUCH_EA,夏侯儀父母臥室,572,469,mp0102a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0102c/Mp0102c.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0102c,15,,,,,mp0102d,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0102c/Mp0102c.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0102c,16,MANUAL_EB,地下室出入口,354,387,mp0102e,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0102c/Mp0102c.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
