根目录,主题,固化节点或阶段,资料类型,相对路径,字节数,SHA-256,人类用途
数据,00_目录索引与路径映射,固化66资料整理版1_主题目录机器摘要.json,其它,数据/00_目录索引与路径映射/固化66资料整理版1_主题目录机器摘要.json,5146,c008dd1dc452dc45db01c00bb76cf92461cc5dbd51697a7126200f29041f0069,历史索引或审计资料
数据,00_目录索引与路径映射,固化66资料整理版1_全量目录治理与独立接档审计.json,其它,数据/00_目录索引与路径映射/固化66资料整理版1_全量目录治理与独立接档审计.json,4375,26f6a384700bd6d617d6cda365449ede8edd41d4e661e3fe004a8cd721015a98,历史索引或审计资料
数据,00_目录索引与路径映射,固化66资料整理版1_工具目录历史输出迁移记录.json,其它,数据/00_目录索引与路径映射/固化66资料整理版1_工具目录历史输出迁移记录.json,665,0a965ad105e7ddbc95841688baec7786e5cf8c6854b7b4b29f55ea482ee1e31d,历史索引或审计资料
数据,00_目录索引与路径映射,固化66资料整理版1_旧路径到新路径映射.json,其它,数据/00_目录索引与路径映射/固化66资料整理版1_旧路径到新路径映射.json,552386,a4a1576d3168b6ee3e6a2a810a50797c5a59983e126fce7cd32088447e302aed,历史索引或审计资料
数据,00_目录索引与路径映射,固化66资料整理版1_资料分类总索引.csv,其它,数据/00_目录索引与路径映射/固化66资料整理版1_资料分类总索引.csv,364210,b19f3981461eeb7ef3fe4e3e50469a11bd0d310af4da72bff75a6f6c188e3c28,历史索引或审计资料
数据,00_目录索引与路径映射,本版本全文件SHA与遍历索引_固化66资料整理版1.json,其它,数据/00_目录索引与路径映射/本版本全文件SHA与遍历索引_固化66资料整理版1.json,266663,f831aa03cff5473a953325e135907b423e0f2120c15bef9376e52e8a88c6e74f,历史索引或审计资料
数据,01_版本基线与封包审计,固化1,机器结果,数据/01_版本基线与封包审计/固化1/机器结果/历史回归_v0.7D阶段中固化1_自动回归检查结果.json,2136,58e9dc87dbb98d62e273dc10d694cb19a7ef4113f53a96a03e9c52b75e75f41c,机器可读结论与断言
数据,01_版本基线与封包审计,固化21,机器结果,数据/01_版本基线与封包审计/固化21/机器结果/包内完整性校验_固化21.json,132504,8b5275a3cdd4ed4380ed9e5917137186372d5d673193d93b08d60acf5c304734,机器可读结论与断言
数据,01_版本基线与封包审计,固化21,机器结果,数据/01_版本基线与封包审计/固化21/机器结果/文档全量遍历审计_固化21.json,9271,cd8e4325028ab332a311b11710f30b9a848bb367a81335017c61c9ee5d21c001,机器可读结论与断言
数据,01_版本基线与封包审计,固化21,机器结果,数据/01_版本基线与封包审计/固化21/机器结果/阶段里程碑状态_v0.7D阶段中固化21.json,1835,a04a119b048a95c8d72322ac221b96cd21c89481ee90e7326593ff3243358c04,机器可读结论与断言
数据,01_版本基线与封包审计,固化22,机器结果,数据/01_版本基线与封包审计/固化22/机器结果/阶段里程碑状态_v0.7D阶段中固化22.json,4112,e9ba63215f40f1ac8fd92899d02d15eefbe385374bd347af8531fa5664e6d408,机器可读结论与断言
数据,01_版本基线与封包审计,固化23,机器结果,数据/01_版本基线与封包审计/固化23/机器结果/全包结构审计_固化23.json,2315,63a1361b8c02e0273dba052f94975060455b769be0d5e26a4b8c2fe9fea49294,机器可读结论与断言
数据,01_版本基线与封包审计,固化23,机器结果,数据/01_版本基线与封包审计/固化23/机器结果/包内完整性校验_固化23.json,149895,17a60cc22bc96679e6e87ac36a0984849a1a132b93ea11648f1f70fbff67a651,机器可读结论与断言
数据,01_版本基线与封包审计,固化23,机器结果,数据/01_版本基线与封包审计/固化23/机器结果/文档全量遍历审计_固化23.json,15123,7978e1435c15de500cfc07df0908760a1ed9ea1179acc82f3ae258c39971a22e,机器可读结论与断言
数据,01_版本基线与封包审计,固化23,机器结果,数据/01_版本基线与封包审计/固化23/机器结果/阶段里程碑状态_v0.7D阶段中固化23.json,2704,46171e06961808aea497780f3e063e6cfb7686753eff7cbef634d94e7ae4ae4d,机器可读结论与断言
数据,01_版本基线与封包审计,固化24,机器结果,数据/01_版本基线与封包审计/固化24/机器结果/包内完整性校验_固化24.json,151461,dd27da24fef18912a993b9d1abd3a7acb68f550871ddec87751607ff46291d69,机器可读结论与断言
数据,01_版本基线与封包审计,固化24,机器结果,数据/01_版本基线与封包审计/固化24/机器结果/文档全量遍历审计_固化24.json,8679,f3ea9569a3d1734592a27df04f37b4eb7ecfb7be895018587e1bbf35861efb85,机器可读结论与断言
数据,01_版本基线与封包审计,固化25,机器结果,数据/01_版本基线与封包审计/固化25/机器结果/文档全量遍历审计_固化25.json,11700,5b3aab56da5f0f57e7684c5374734b8b9fc43bdfffb957c017785960f9665be5,机器可读结论与断言
数据,01_版本基线与封包审计,固化25,机器结果,数据/01_版本基线与封包审计/固化25/机器结果/本版本自动回归检查结果_固化25.json,858,20fb537c9295d98a009d64c6f161966e279fbe449f0dee3241948738bc0dd761,机器可读结论与断言
数据,01_版本基线与封包审计,固化25,机器结果,数据/01_版本基线与封包审计/固化25/机器结果/阶段里程碑状态_v0.7D阶段中固化25.json,1729,d7e5411cda1dd9edd9803e452ec800905f55c46ca2fa455074a6afe4372751ab,机器可读结论与断言
数据,01_版本基线与封包审计,固化27,机器结果,数据/01_版本基线与封包审计/固化27/机器结果/本版本全文件SHA与遍历索引_固化27.json,144702,4144f752ed68b5efb4fcacc4036916b042827e52caa14d3fea1bf21cfd23eb70,机器可读结论与断言
数据,01_版本基线与封包审计,固化28,机器结果,数据/01_版本基线与封包审计/固化28/机器结果/阶段里程碑状态_v0.7D阶段中固化28.json,500,a7d4a93c1e2bbe3aa21676a34d975edc5a8bfbef77baa47aec9a94f84690f6b2,机器可读结论与断言
数据,01_版本基线与封包审计,固化29,机器结果,数据/01_版本基线与封包审计/固化29/机器结果/阶段里程碑状态_v0.7D阶段中固化29.json,478,d2db592a1ffb475d95f06a25b3d6bdf0e088e6f719d1b82415fef979ebe025f9,机器可读结论与断言
数据,01_版本基线与封包审计,固化30,机器结果,数据/01_版本基线与封包审计/固化30/机器结果/阶段里程碑状态_v0.7D阶段中固化30.json,515,63ec3379049ce8e26c622fcf86bdc84a3a8ddec381fa066732d7329d8983fdc0,机器可读结论与断言
数据,01_版本基线与封包审计,固化31,机器结果,数据/01_版本基线与封包审计/固化31/机器结果/本版本全文件SHA与遍历索引_固化31.json,148595,6992eb150d1319dec64c5dfc109161f637b0655b45e5d916fc095e3edac88398,机器可读结论与断言
数据,01_版本基线与封包审计,固化32,机器结果,数据/01_版本基线与封包审计/固化32/机器结果/本版本全文件SHA与遍历索引_固化32.json,149386,45306b5aada973dab9701b3dec5dd39275dd41ab5552094bab765f0e77ff12f6,机器可读结论与断言
数据,01_版本基线与封包审计,固化34,机器结果,数据/01_版本基线与封包审计/固化34/机器结果/Python工具注释补全语义等价回归_固化34.json,3590,9ce3ef0fb9c27fd20051c7275f5ea0dc91e8e904e547d829713db41c056680c0,机器可读结论与断言
数据,01_版本基线与封包审计,固化34,机器结果,数据/01_版本基线与封包审计/固化34/机器结果/RPG原始版已覆盖代码等价回归_固化34.json,2713,525fed2f35a5011ae1280f4417508cc7a3be8db22986d4011843a6c6377800d6,机器可读结论与断言
数据,01_版本基线与封包审计,固化34,机器结果,数据/01_版本基线与封包审计/固化34/机器结果/文档与封包全量遍历审计_固化34.json,11878,eb428398d20cf279c15f865bffbde855b5ce35f64d3eede669b9587ac8d7a881,机器可读结论与断言
数据,01_版本基线与封包审计,固化34,机器结果,数据/01_版本基线与封包审计/固化34/机器结果/本版本全文件SHA与遍历索引_固化34.json,151907,99eb26a623ff8faf304ba7f66c4eb58fbebe7e14a2d8822c0aa8f713fa729e06,机器可读结论与断言
