主题,VA,原版HEX,研究版HEX,原版预期HEX,研究版预期HEX,预期HEX,分类,PASS
PlayDisk盘型门,0x00402A3F,83f80575,83f8027c,83f80575,83f8027c,,新增独立闭合,True
MultiMediaMov存在门,0x00402A62,742e,eb2e,742e,eb2e,,新增独立闭合,True
MiscInfo全槽清理上界,0x00423590,83fe28,83fe30,83fe28,83fe30,,新增独立闭合,True
RoleDefinition回写通道3,0x00440E90,89543974,89543970,89543974,89543970,,新增独立闭合,True
RoleDefinition回写通道4,0x00440EB6,89543978,89543974,89543978,89543974,,新增独立闭合,True
RoleDefinition回写通道5,0x00440EDC,8954397c,89543978,8954397c,89543978,,新增独立闭合,True
RoleDefinition回写通道6,0x00440F02,89943980000000,8994397c000000,89943980000000,8994397c000000,,新增独立闭合,True
RoleDefinition回写通道7,0x00440F2B,89943984000000,89943980000000,89943984000000,89943980000000,,新增独立闭合,True
RoleDefinition回写尾通道,0x00440F54,89843a88000000,89843a84000000,89843a88000000,89843a84000000,,新增独立闭合,True
MapSCI加380存档许可getter,0x0040A0C2,8b8080030000,8b8080030000,,,8b8080030000,既有覆盖并复核,True
战后掉落百分阈值RNG,0x00443A22,99b964000000f7f9,99b964000000f7f9,,,99b964000000f7f9,既有覆盖并复核,True
升级随机增长一,0x00443BB9,99b903000000f7f9,99b903000000f7f9,,,99b903000000f7f9,既有覆盖并复核,True
升级随机增长二,0x00443BFB,99b9030000006a00f7f9,99b9030000006a00f7f9,,,99b9030000006a00f7f9,既有覆盖并复核,True
随机闭区间helper尾部,0x00443D7D,f7fe8bc203c7,f7fe8bc203c7,,,f7fe8bc203c7,既有覆盖并复核,True
经验累计写回,0x00443856,03c3894724,03c3894724,,,03c3894724,既有覆盖并复核,True
经验显示参数,0x004437F7,8b0db0b2460053,8b0db0b2460053,,,8b0db0b2460053,既有覆盖并复核,True
金钱累计写回,0x00439824,8b91d85d000003d0,8b91d85d000003d0,,,8b91d85d000003d0,既有覆盖并复核,True
金钱显示参数,0x004439AF,8b088b50085155528d8424b4000000,8b088b50085155528d8424b4000000,,,8b088b50085155528d8424b4000000,既有覆盖并复核,True
