opcode,legal,command_index,factory_target,vtable,init,execute,destroy,opcode_hex,execute_hex,vtable_hex,semantic,evidence_level,semantic_evidence,semantic_cn,semantic_execute_consistent,serialized_size,static_min_bytes,size_evidence_type,params
0,True,0,4240337,4589252,4243408,4243424,4272128,0x00,0x0040BFE0,0x004606C4,END_EVENT,已确认,,结束/停止当前事件,True,4,,exact,[]
1,True,1,4240366,4589240,4243408,4243456,4272128,0x01,0x0040C000,0x004606B8,WAIT_LEGACY_TICKS,已确认,,等待指定 Legacy Tick,True,8,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""tick_count""}]"
2,True,2,4240395,4589228,4243408,4243584,4272128,0x02,0x0040C080,0x004606AC,SET_VAR,已确认,,写入脚本变量,True,12,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""var_index""}, {""偏移"": ""+0x08"", ""类型"": ""u32→int16"", ""名称"": ""value""}]"
3,True,3,4240424,4589216,4243408,4243648,4272128,0x03,0x0040C0C0,0x004606A0,ADD_VAR,已确认,,脚本变量加值,True,12,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""var_index""}, {""偏移"": ""+0x08"", ""类型"": ""u32→int16"", ""名称"": ""delta""}]"
4,True,4,4240453,4589204,4243408,4243712,4272128,0x04,0x0040C100,0x00460694,SUB_VAR,已确认,,脚本变量减值,True,12,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""var_index""}, {""偏移"": ""+0x08"", ""类型"": ""u32→int16"", ""名称"": ""delta""}]"
5,True,5,4240482,4589192,4243408,4246384,4272128,0x05,0x0040CB70,0x00460688,SHOW_MESSAGE,强结构证据,"0x403B90(current_event_id, cmd+7+1, cmd+0B) 选择 MSG；0x403C60(cmd+4,+5,+6) 初始化表现；随后同时置 0x89F81D/1E，阻塞并 yield。",按当前 Event ID 从当前地图 MSG 取文本并启动对话（与 0x33 同 Execute）,True,,,unknown,"[{""偏移"": ""+0x04/+0x05/+0x06"", ""类型"": ""u8"", ""名称"": ""dialogue_ui_args""}, {""偏移"": ""+0x07"", ""类型"": ""u32"", ""名称"": ""message_index_minus_one""}, {""偏移"": ""+0x0B"", ""类型"": ""u8"", ""名称"": ""message_option""}]"
6,False,88,4242864,,,,,0x06,,,,,,,True,,,unknown,[]
7,False,88,4242864,,,,,0x07,,,,,,,True,,,unknown,[]
8,False,88,4242864,,,,,0x08,,,,,,,True,,,unknown,[]
9,False,88,4242864,,,,,0x09,,,,,,,True,,,unknown,[]
10,False,88,4242864,,,,,0x0A,,,,,,,True,,,unknown,[]
11,True,6,4240511,4589180,4243408,4243776,4272128,0x0B,0x0040C140,0x0046067C,LOAD_NPC,强证据,,载入 NPC,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""名称/固定区"", ""名称"": ""npc_name""}, {""偏移"": ""+0x18/+0x1C/+0x20"", ""类型"": ""待定"", ""名称"": ""args""}]"
12,True,7,4240540,4589168,4243408,4244000,4272128,0x0C,0x0040C220,0x00460670,UNLOAD_NPC,已确认,transition_mode 为1或2时设置全局倒计时0x89F828=16；每Tick调用实体过渡helper并yield，归零后由0x409ED0移除实体。具体视觉表现仍需动态Oracle。,卸载命名 NPC；可选固定16 Legacy Tick过渡后移除,True,,28,lower_bound,"[{""偏移"": ""+0x04"", ""类型"": ""名称/固定区"", ""名称"": ""npc_name""}, {""偏移"": ""+0x18"", ""类型"": ""u32/枚举"", ""名称"": ""transition_mode""}]"
13,True,8,4240569,4589156,4243408,4244256,4272128,0x0D,0x0040C320,0x00460664,ENABLE_SCENE_RENDER_OVERRIDE,已确认数据行为,写 0x89F7B8=1；业务视觉名称仍不提前冻结。,把场景渲染覆盖状态置为1并主动 yield,True,4,,exact,[]
14,False,88,4242864,,,,,0x0E,,,,,,,True,,,unknown,[]
15,False,88,4242864,,,,,0x0F,,,,,,,True,,,unknown,[]
16,False,88,4242864,,,,,0x10,,,,,,,True,,,unknown,[]
17,True,9,4240598,4589144,4243408,4244320,4272128,0x11,0x0040C360,0x00460658,SET_NPC_SPEED,强证据,,设置 NPC 速度,True,,,unknown,[]
18,True,10,4240627,4589132,4243408,4244464,4272128,0x12,0x0040C3F0,0x0046064C,SET_NPC_STATE,强证据,,设置 NPC 状态,True,,,unknown,[]
19,True,11,4240656,4589120,4243408,4244640,4272128,0x13,0x0040C4A0,0x00460640,SET_NPC_POSITION_FACING,强证据,,设置 NPC 位置/方向,True,,,unknown,[]
20,True,12,4240685,4589108,4243408,4244816,4272128,0x14,0x0040C550,0x00460634,SET_ENTITY_POSITION,已确认结构,,按名称设置场景实体坐标并保留其状态,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""名称区"", ""名称"": ""entity_name""}, {""偏移"": ""+0x18"", ""类型"": ""i32"", ""名称"": ""x""}, {""偏移"": ""+0x1C"", ""类型"": ""i32"", ""名称"": ""y""}]"
21,True,13,4240714,4589096,4243408,4244928,4272128,0x15,0x0040C5C0,0x00460628,SET_ENTITY_STATE_BYTE,已确认结构,,按名称修改实体 packed state 的状态字节并保留坐标,True,,,unknown,[]
22,True,14,4240743,4589084,4243408,4245056,4272128,0x16,0x0040C640,0x0046061C,CONFIGURE_ENTITY_ACTION_STATE,强结构证据,向 0x40A740 传入 +0x18/+0x1C/+0x20/+0x24 四参数，并处理 +0x28/+0x2C/+0x30 状态/阻塞字段；各字段业务名待样本。,按名称配置实体动作/状态参数，可选择等待,True,,,unknown,[]
23,False,88,4242864,,,,,0x17,,,,,,,True,,,unknown,[]
24,False,88,4242864,,,,,0x18,,,,,,,True,,,unknown,[]
25,True,15,4240772,4589072,4243408,4245248,4272128,0x19,0x0040C700,0x00460610,CONFIGURE_ENTITY_ACTION_RELATIVE_TO_PLAYER,强结构证据,,以当前玩家位置为基准配置命名实体动作/目标,True,,,unknown,[]
26,True,16,4240801,4589060,4243408,4245472,4272128,0x1A,0x0040C7E0,0x00460604,SET_ENTITY_ACTION_RANGE_E2_E3,已确认结构,source SCI +0xE2=start(+0x18 byte)；+0xE3=end(+0x1C)-start+1。直接证明实体记录保存 Section0 start/sequence_length。,设置命名实体第一组 SF2 动作入口/长度,True,,,unknown,[]
27,True,17,4240830,4589048,4243408,4245632,4272128,0x1B,0x0040C880,0x004605F8,SET_CAMERA_TRACK_ENTITY,已确认结构,实体查找成功后写全局 camera target 0x978550，并 yield。,把相机跟踪目标切换到命名实体,True,,,unknown,[]
28,True,18,4240859,4589036,4243408,4245728,4272128,0x1C,0x0040C8E0,0x004605EC,RESET_CAMERA_TRACK_TO_PLAYER,已确认结构,,把相机跟踪目标恢复为当前受控角色,True,4,,exact,[]
29,True,19,4240888,4589024,4243408,4245792,4272128,0x1D,0x0040C920,0x004605E0,WAIT_SCENE_ENTITY_ACTIONS_COMPLETE,强结构证据,0x409CB0 扫描 active scene entity list，只要 runtime +0x40 非零就继续 yield/retry；全部为0才 PC++。,等待当前场景所有实体动作控制器空闲,True,4,,exact,[]
30,True,20,4240917,4589012,4243408,4245888,4272128,0x1E,0x0040C980,0x004605D4,PAN_CAMERA_PROXY_TO,已确认,查找CP950名称“隱形”的隐藏场景实体并设为camera target；按Legacy Tick线性移动并yield。Core应规范化为ScriptCameraProxy，不必复刻隐藏NPC实现。,把脚本相机代理实体线性移动到目标坐标,True,,16,lower_bound,"[{""偏移"": ""+0x04"", ""类型"": ""i32"", ""名称"": ""target_x""}, {""偏移"": ""+0x08"", ""类型"": ""i32"", ""名称"": ""target_y""}, {""偏移"": ""+0x0C"", ""类型"": ""u32"", ""名称"": ""duration_legacy_ticks""}]"
31,True,21,4240946,4589000,4243408,4246176,4272128,0x1F,0x0040CAA0,0x004605C8,POSITION_ENTITY_RELATIVE_TO_PLAYER,强结构证据,,把命名实体放到当前玩家坐标加偏移的位置并设置状态字节,True,,,unknown,[]
32,False,88,4242864,,,,,0x20,,,,,,,True,,,unknown,[]
33,False,88,4242864,,,,,0x21,,,,,,,True,,,unknown,[]
34,False,88,4242864,,,,,0x22,,,,,,,True,,,unknown,[]
35,False,88,4242864,,,,,0x23,,,,,,,True,,,unknown,[]
36,False,88,4242864,,,,,0x24,,,,,,,True,,,unknown,[]
37,False,88,4242864,,,,,0x25,,,,,,,True,,,unknown,[]
38,False,88,4242864,,,,,0x26,,,,,,,True,,,unknown,[]
39,False,88,4242864,,,,,0x27,,,,,,,True,,,unknown,[]
40,False,88,4242864,,,,,0x28,,,,,,,True,,,unknown,[]
41,False,88,4242864,,,,,0x29,,,,,,,True,,,unknown,[]
42,False,88,4242864,,,,,0x2A,,,,,,,True,,,unknown,[]
43,False,88,4242864,,,,,0x2B,,,,,,,True,,,unknown,[]
44,False,88,4242864,,,,,0x2C,,,,,,,True,,,unknown,[]
45,False,88,4242864,,,,,0x2D,,,,,,,True,,,unknown,[]
46,False,88,4242864,,,,,0x2E,,,,,,,True,,,unknown,[]
47,False,88,4242864,,,,,0x2F,,,,,,,True,,,unknown,[]
48,False,88,4242864,,,,,0x30,,,,,,,True,,,unknown,[]
49,False,88,4242864,,,,,0x31,,,,,,,True,,,unknown,[]
50,False,88,4242864,,,,,0x32,,,,,,,True,,,unknown,[]
51,True,22,4240975,4588988,4243408,4246384,4272128,0x33,0x0040CB70,0x004605BC,SHOW_MESSAGE_ALIAS_33,强结构证据,参数解释与 0x05 相同。Factory 中 command index/vtable 不同，Execute 完全相同；Core 可 canonicalize 为同一 SHOW_MESSAGE 并保留 raw_opcode 供调试。,对话/消息命令；与 0x05 为不同 Command 类但共享同一 Execute,True,,,unknown,[]
52,True,23,4241004,4588976,4243408,4246464,4272128,0x34,0x0040CBC0,0x004605B0,REQUEST_APPLICATION_EXIT,已确认,调用0x434900切换app-running状态；主循环随后投递窗口消息并销毁窗口。Core应转成RuntimeExitRequest事件。,请求退出应用程序主循环,True,4,4,exact,[]
53,True,24,4241033,4588964,4243408,4246512,4272128,0x35,0x0040CBF0,0x004605A4,RUN_INTERFACE_MENU_DISPATCHER,已确认结构语义,真实样本中0x35 record由下一条offset证明恰为4字节。内部为异步状态机，创建0x660界面对象并涉及MEN0001/MEN1018/MEN0008/MEN0002/MEN0004/MEN0009、VAR998与deferred continuation。不能缩窄为单一菜单。,运行多阶段界面/菜单总调度器,True,4,4,exact,[]
54,True,25,4241062,4588952,4243408,4247840,4272128,0x36,0x0040D120,0x00460598,OPEN_INTERFACE_SCREEN_WITH_MODE,已确认结构语义,写manager+0xCC，清+0x144/+0x148，创建0x5F0对象（ctor 0x413FA0，全局0x89FCD4），随后block/yield。对象包含多子菜单含商店。,按模式打开大型界面屏幕并阻塞Event VM,True,,8,lower_bound,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""interface_mode""}]"
55,True,26,4241091,4588940,4243408,4248064,4272128,0x37,0x0040D200,0x0046058C,RUN_BATTLE_AND_WAIT_RESULT,A/直接,多阶段Battle命令。state1将record+0x04写DataCenter+0xD8并创建Fight/Battle对象；Battle初始化再把+0xD8作为LayoutGR索引传给0x424430。state2读取DataCenter+0x118结果。败北时若record+0x08非0则载入MP0000\MPMP0000.SCI并激活Event ID11，否则把record+0x0C写入Event IP。特殊地，layout_group_index==0x82时初始化DataCenter+0xF4=RNG%400+800；真实LayoutGR[130]名称为“伏龍A”。注意这里的数值0x82不是EVE opcode 0x82；后者仍是独立NOP。,启动战斗并等待结果,True,,16,lower_bound,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""layout_group_index""}, {""偏移"": ""+0x08"", ""类型"": ""u32/bool-like"", ""名称"": ""defeat_to_mp0000_event11_flag""}, {""偏移"": ""+0x0C"", ""类型"": ""u32"", ""名称"": ""defeat_target_instruction""}]"
56,False,88,4242864,,,,,0x38,,,,,,,True,,,unknown,[]
57,True,27,4241120,4588928,4243408,4248848,4272128,0x39,0x0040D510,0x00460580,RUN_REST_REFINE_STATUS_HUB,已确认,state=0时强制DataCenter+0x108=0并创建0x594对象。record+0x04经DataCenter+0xD0传入MEN9001.SF2控制器0x43E6F0，被夹在raw SF2 +0x14 Section0 count定义的合法范围，并最终作为0x428E70的Section0索引实参，因此精确语义为MEN9001初始Section0组合记录索引。当前MEN9001有4个Section0记录0..3，且各自单层引用同号Section1图像；实图显示为四种休整场景布景。MEN9002另行显示“調態/煉化/歇息”三项，不能把该索引误当三项选择index。第0项直接构造Interface；第1项构造读取Public\RefineT.ENC/Public\RefineK.ENC的炼化子系统；第2项将8个RoleDefinition的+0x30恢复为+0x2C、+0x38恢复为+0x34。,运行“調態/煉化/歇息”休整界面的异步状态机,True,,8,lower_bound,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""men9001_section0_index""}]"
58,True,28,4241149,4588916,4243408,4249472,4272128,0x3A,0x0040D780,0x00460574,LOAD_SCENE_WITH_WORLD_RESET,已确认,构造%s\MP%s.SCI并加载，随后执行world/camera origin reset与视觉helper。与0x3B的轻量LOAD_SCENE必须区分。,载入场景SCI并执行完整世界/相机/视觉状态重置,True,,34,lower_bound,"[{""偏移"": ""+0x04"", ""类型"": ""NUL字符串区"", ""名称"": ""scene_name""}, {""偏移"": ""+0x18"", ""类型"": ""u8/bool-like"", ""名称"": ""reset_option""}, {""偏移"": ""+0x19/+0x1D"", ""类型"": ""u32"", ""名称"": ""visual_params""}, {""偏移"": ""+0x21"", ""类型"": ""u8"", ""名称"": ""visual_option""}]"
59,True,29,4241178,4588904,4243408,4249760,4272128,0x3B,0x0040D8A0,0x00460568,LOAD_SCENE,强证据,,载入场景/地图,True,,,unknown,[]
