文件,索引,名称,behavior_type,profile0_cardinal_mod,profile0_diagonal_mod,profile1_cardinal_mod,profile1_diagonal_mod,profile0_cardinal_step,profile0_diagonal_step,profile1_cardinal_step,profile1_diagonal_step
/mnt/data/sci22_samples/multimedia/Map/Mp2506/Np0.sci,0,miran,1,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/Mp2506/Np0.sci,1,gu_down,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/Mp2506/Np0.sci,2,mu_down,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/Mp2506/Np0.sci,3,sha_ice,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/Mp2506/Np0.sci,4,sha_jade,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/Mp2506/Np0.sci,5,fire1,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/Mp2506/Np0.sci,6,fire2,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/Mp2506/Np0.sci,7,sit,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/Mp2506/Np0.sci,8,lh,1,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/Mp2506/Np0.sci,9,lh_raise,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/Mp2506/Np0.sci,10,kagi2,1,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/mp2412a/NP穝瓜001.SCI,0,中央傳送,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/mp2412a/NP穝瓜001.SCI,1,end1,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/mp2412a/NP穝瓜001.SCI,2,end2,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/mp2412a/NP穝瓜001.SCI,3,sunwheel,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/mp2412a/NP穝瓜001.SCI,4,ragou_1,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/mp2412a/NP穝瓜001.SCI,5,ragou_2,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/mp2412a/NP穝瓜001.SCI,6,羅喉石輪.SF2,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/mp2412a/NP穝瓜001.SCI,7,light,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/mp2412a/NP穝瓜001.SCI,8,kou,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/mp2412a/NP穝瓜001.SCI,9,damage,0,0,0,0,0,6,4,9,6
/mnt/data/sci22_samples/multimedia/Map/mp2412a/NP穝瓜001.SCI,10,end3,0,0,0,0,0,6,4,9,6
