原始模式,处理器,Canonical名称,原版行为
0,0x004296CD,NORMAL_COPY,专用处理器
1,0x004296EB,ALPHA_BLEND_16,专用处理器
2,0x0042974D,WEIGHTED_BLEND_16,专用处理器
3,0x004297B0,MASKED_DESTINATION_TINT_BLEND,专用处理器
4,0x004297FC,WEIGHTED_SOURCE_PLUS_CONSTANT_COLOR,专用处理器
5,0x00429848,INVERT_SOURCE_COPY,专用处理器
6,0x0042988F,INVERT_DESTINATION_MASK,专用处理器
7,0x004298D6,LEGACY_LOOKUP_COMPOSITE_7,专用处理器
8,0x0042991D,LEGACY_BRIGHTEN_BY_SOURCE_MAX,专用处理器
9,,FALLBACK_NOOP,fallback/no-op
10,0x004299C7,MASKED_DESTINATION_NEIGHBOR_AVERAGE_A,专用处理器
11,0x00429A08,MASKED_DESTINATION_NEIGHBOR_AVERAGE_B,专用处理器
12,,FALLBACK_NOOP,fallback/no-op
13,,FALLBACK_NOOP,fallback/no-op
14,,FALLBACK_NOOP,fallback/no-op
15,,FALLBACK_NOOP,fallback/no-op
16,,FALLBACK_NOOP,fallback/no-op
17,,FALLBACK_NOOP,fallback/no-op
18,,FALLBACK_NOOP,fallback/no-op
19,,FALLBACK_NOOP,fallback/no-op
20,,FALLBACK_NOOP,fallback/no-op
21,,FALLBACK_NOOP,fallback/no-op
22,,FALLBACK_NOOP,fallback/no-op
23,,FALLBACK_NOOP,fallback/no-op
24,,FALLBACK_NOOP,fallback/no-op
25,,FALLBACK_NOOP,fallback/no-op
26,,FALLBACK_NOOP,fallback/no-op
27,,FALLBACK_NOOP,fallback/no-op
28,,FALLBACK_NOOP,fallback/no-op
29,,FALLBACK_NOOP,fallback/no-op
30,0x00429964,SOURCE_ADD_CONSTANT_BITMASK,专用处理器
