调用点,槽,类型,证据
0x00420455,9,常量槽,直接 push 9 后调用 0x0042A1A0
0x0042046D,8,常量槽,直接 push 8 后调用 0x0042A1A0
0x0042D473,1,常量槽,直接调用链
0x0042D96C,3,常量槽,0x0042D95E 直接 push 3，随后 0x0042D96C 调用 0x0042A1A0
0x0042D9AF,,动态槽,槽号由运行时值提供
0x0043F53A,0,常量槽,0x0043F520 子系统成组读取 slots 0/4/5/6/7/2/8；属于 effect/spatial-layout metadata family
0x0043F558,4,常量槽,同一大子系统成组读取
0x0043F567,5,常量槽,同一大子系统成组读取
0x0043F584,6,常量槽,同一大子系统成组读取
0x0043F595,7,常量槽,同一大子系统成组读取
0x0043F5A4,2,常量槽,同一大子系统成组读取
0x0043F5B5,8,常量槽,同一大子系统成组读取
0x00444E10,1,常量槽,与 12/13 常量比较链
0x00444E2F,1,常量槽,与 12/13 常量比较链
0x00444E64,1,常量槽,与 12/13 常量比较链
