调用点,分类,静态边界
0x00401109,非Battle-core直接点,共享全局RNG；最终需全局hook动态验证
0x0040113D,非Battle-core直接点,共享全局RNG；最终需全局hook动态验证
0x0040352E,非Battle-core直接点,共享全局RNG；最终需全局hook动态验证
0x00403718,非Battle-core直接点,共享全局RNG；最终需全局hook动态验证
0x0040AB72,非Battle-core直接点,共享全局RNG；最终需全局hook动态验证
0x0040AB86,非Battle-core直接点,共享全局RNG；最终需全局hook动态验证
0x0040AB9A,非Battle-core直接点,共享全局RNG；最终需全局hook动态验证
0x0040ABD3,非Battle-core直接点,共享全局RNG；最终需全局hook动态验证
0x0040F633,非Battle-core直接点,共享全局RNG；最终需全局hook动态验证
0x0041F33E,Battle-core/Battle直接关联,共享全局RNG；最终需全局hook动态验证
0x0041F454,Battle-core/Battle直接关联,共享全局RNG；最终需全局hook动态验证
0x00421AB6,Battle-core/Battle直接关联,共享全局RNG；最终需全局hook动态验证
0x00421B20,Battle-core/Battle直接关联,共享全局RNG；最终需全局hook动态验证
0x00423395,Battle-core/Battle直接关联,共享全局RNG；最终需全局hook动态验证
0x0043D352,Battle-core/Battle直接关联,共享全局RNG；最终需全局hook动态验证
0x00443DB3,Battle-core/Battle直接关联,共享全局RNG；最终需全局hook动态验证
0x00443DDA,Battle-core/Battle直接关联,共享全局RNG；最终需全局hook动态验证
0x00443E24,Battle-core/Battle直接关联,共享全局RNG；最终需全局hook动态验证
0x0044674B,Battle-core/Battle直接关联,共享全局RNG；最终需全局hook动态验证
0x0044B52C,非Battle-core直接点,共享全局RNG；最终需全局hook动态验证
0x0044B54D,非Battle-core直接点,共享全局RNG；最终需全局hook动态验证
