物理记录索引,物理记录索引十六进制,Ail2加20物品ID,Ail2加20物品ID十六进制,名称,五槽value,五槽ID,大ID槽位,大ID,Ail2加28,独立路径族,独立路径证据摘要
271,0x10F,271,0x10F,還神散,"[100,0,0,0,0]","[43,0,0,0,0]",[0],[43],0,复苏特殊物品族,Battle 另有按 item ID 0x10F..0x111 的特殊恢复控制流；不能把 effect ID43 自身命名为复苏opcode。
272,0x110,272,0x110,紫凝甘露,"[100,0,0,0,0]","[43,0,0,0,0]",[0],[43],0,复苏特殊物品族,Battle 另有按 item ID 0x10F..0x111 的特殊恢复控制流；不能把 effect ID43 自身命名为复苏opcode。
273,0x111,273,0x111,鑄命封石,"[100,0,0,0,0]","[43,0,0,0,0]",[0],[43],0,复苏特殊物品族,Battle 另有按 item ID 0x10F..0x111 的特殊恢复控制流；不能把 effect ID43 自身命名为复苏opcode。
281,0x119,281,0x119,化毒散,"[100,0,0,0,0]","[40,40,40,40,40]","[0,1,2,3,4]","[40,40,40,40,40]",0,按item-ID状态解除族,0x421690 读取 Ail2+0x20；item 0x119 选择 selector 1，清 FightRole+0xA34。
282,0x11A,282,0x11A,通脈丸,"[100,0,0,0,0]","[41,41,41,41,41]","[0,1,2,3,4]","[41,41,41,41,41]",0,按item-ID状态解除族,0x421690 读取 Ail2+0x20；item 0x11A 选择 selector 2，清 FightRole+0xA38。
283,0x11B,283,0x11B,冰蟾砂,"[100,100,100,0,0]","[40,41,50,0,0]","[0,1,2]","[40,41,50]",0,按item-ID状态解除族,0x421690 读取 Ail2+0x20；item 0x11B 选择 selector 0，广泛清理 FightRole runtime 状态块；0x11B 对 +0xA3C/+0xA68 有条件例外。
284,0x11C,284,0x11C,綺羅天香,"[100,0,0,0,0]","[42,0,0,0,0]",[0],[42],0,按item-ID状态解除族,0x421690 读取 Ail2+0x20；item 0x11C 选择 selector 3，清 FightRole+0xA3C。
285,0x11D,285,0x11D,血仙邪釀,"[100,0,0,0,0]","[67,0,0,0,0]",[0],[67],0,按item-ID状态解除族,0x421690 读取 Ail2+0x20；item 0x11D 选择 selector 4，清 FightRole+0xA60。
286,0x11E,286,0x11E,蝕血神丹,"[100,100,100,0,0]","[51,10,2,0,0]",[0],[51],0,按item-ID状态解除族,0x421690 读取 Ail2+0x20；item 0x11E 选择 selector 0，广泛清理 FightRole runtime 状态块；0x11B 对 +0xA3C/+0xA68 有条件例外。
301,0x12D,301,0x12D,八絡血參,"[100,0,0,0,0]","[59,0,0,0,0]",[0],[59],0,永久能力源记录writer族,0x43AEC0 直接读取 Ail2 五槽ID/value，并由 Ail2+0xD0 作为实际增量写 RoleDefinition；当前大ID映射=RoleDefinition+0x2C += Ail2+0xD0
302,0x12E,302,0x12E,冰荷仙實,"[100,0,0,0,0]","[60,0,0,0,0]",[0],[60],0,永久能力源记录writer族,0x43AEC0 直接读取 Ail2 五槽ID/value，并由 Ail2+0xD0 作为实际增量写 RoleDefinition；当前大ID映射=RoleDefinition+0x34 += Ail2+0xD0
303,0x12F,303,0x12F,熊王金膽,"[100,0,0,0,0]","[54,0,0,0,0]",[0],[54],0,永久能力源记录writer族,0x43AEC0 直接读取 Ail2 五槽ID/value，并由 Ail2+0xD0 作为实际增量写 RoleDefinition；当前大ID映射=RoleDefinition+0x3C += Ail2+0xD0
304,0x130,304,0x130,靈泉玉露,"[100,0,0,0,0]","[58,0,0,0,0]",[0],[58],0,永久能力源记录writer族,0x43AEC0 直接读取 Ail2 五槽ID/value，并由 Ail2+0xD0 作为实际增量写 RoleDefinition；当前大ID映射=RoleDefinition+0x44 += Ail2+0xD0
305,0x131,305,0x131,迅神五書,"[100,0,0,0,0]","[56,0,0,0,0]",[0],[56],0,永久能力源记录writer族,0x43AEC0 直接读取 Ail2 五槽ID/value，并由 Ail2+0xD0 作为实际增量写 RoleDefinition；当前大ID映射=RoleDefinition+0x48 += Ail2+0xD0
306,0x132,306,0x132,鬼神天釀,"[100,0,0,0,0]","[55,0,0,0,0]",[0],[55],0,永久能力源记录writer族,0x43AEC0 直接读取 Ail2 五槽ID/value，并由 Ail2+0xD0 作为实际增量写 RoleDefinition；当前大ID映射=RoleDefinition+0x40 += Ail2+0xD0
307,0x133,307,0x133,玄機道卷,"[100,0,0,0,0]","[57,0,0,0,0]",[0],[57],0,永久能力源记录writer族,0x43AEC0 直接读取 Ail2 五槽ID/value，并由 Ail2+0xD0 作为实际增量写 RoleDefinition；当前大ID映射=RoleDefinition+0x4C += Ail2+0xD0
368,0x170,368,0x170,地返遁符,"[100,0,0,0,0]","[61,0,0,0,0]",[0],[61],12,world-action族,真正分派字段是 Ail2+0x28=12；大ID 61 不能当作 world-action opcode。
369,0x171,369,0x171,鎮辟玄香,"[100,0,0,0,0]","[63,0,0,0,0]",[0],[63],13,world-action族,真正分派字段是 Ail2+0x28=13；大ID 63 不能当作 world-action opcode。
370,0x172,370,0x172,鬼魅玄香,"[100,0,0,0,0]","[64,0,0,0,0]",[0],[64],14,world-action族,真正分派字段是 Ail2+0x28=14；大ID 64 不能当作 world-action opcode。
