物理索引,名称,LayoutTeam候选数_加0x18,脱逃成功阈值_加0x9C,观察分类_非作者枚举,记录SHA256
0,Test,1,100,测试记录,53611bd73188748cd6cb7ff5b06b03f1c71c24580e89344620d36862c072a4e7
1,迦夏之窟洞外,10,30,有名普通区域/迷宫组,7acaa34ab09664438b1e17f81502be7d9a711399b882c588ceb327abec1258f2
2,迦夏之窟洞內,10,30,有名普通区域/迷宫组,05bac426b9bb27262e43a03fba76f5520590be49a45bc867fc62e05fc117c351
3,沙漠營地內,10,30,有名普通区域/迷宫组,795df4ee51510539f9478d308b5c06a849288e2b4ded85dec82704975da1f275
4,磐沙堡內A,10,30,有名普通区域/迷宫组,e0f157972768b21f5499413e44b670d6ba73e8b11f3994ee061711c8e590840c
5,磐沙堡內B,10,30,有名普通区域/迷宫组,a6310c3020e5b1278241460c58468312a254cef02bdf67049fa7f26bd3b7465a
6,石塔A,10,30,有名普通区域/迷宫组,baf4a7df907aff5e3d2eada6d154e86f1784702295fc05216b6e9bfcd3dacccf
7,石塔B,10,30,有名普通区域/迷宫组,f2b522d719d03a631787b58b89516a1bc0ef82c9fbc9814a697a99a7803e7b18
8,高昌地上,10,30,有名普通区域/迷宫组,a23154ea34d4a2b5badfc35ac77d85630b94a9bce4d98b16a8186bed2d07d26c
9,高昌地下A,10,30,有名普通区域/迷宫组,21359b20b68495765d927e937d205e19da00bf20195ed338904f6201e854d6d4
10,高昌地下B,10,30,有名普通区域/迷宫组,dea1b3f352f5c0c5dc332a3276231d64a1036b41d95e6b67c7190e9f7d7d02bc
11,拓渾古垣迴道A,6,30,有名普通区域/迷宫组,8722797269ce38b550515f8032f8a640cd72515f5bb7f199d3eab762f343c3bd
12,拓渾古垣迴道B,6,30,有名普通区域/迷宫组,86cb9cd7e9ceb270ce370dbb9d21ead5f9803074731e6e9afbb4cd74d195573a
13,拓渾古垣迴道C,6,30,有名普通区域/迷宫组,f21bcc76ace12298ef9c9fc11979e7561bd7f697416f6fa65039b4ea4f52e4be
14,龍駒島,8,30,有名普通区域/迷宫组,d77173d579a0b5e71981954983a343b27d8ce6626dc184660783db60fb1ccc94
15,月牙泉下冰窟A,4,30,有名普通区域/迷宫组,bf3b32ba288e6e6ae9d0e8b9508c14ffbf775377a49ee7cfe2fda7abd255c504
16,月牙泉下冰窟B,4,30,有名普通区域/迷宫组,ce46cc0139b203920840918a13f7484a9e6da42f949c9cad055a277eee89c456
17,甘陀寺五層塔A,4,30,有名普通区域/迷宫组,f7024c84a110059f37e10113a73eed1ec03845a252022a705006577db4ed6b01
18,甘陀寺五層塔B,4,30,有名普通区域/迷宫组,0fc997eded439f25587f2cecf284962629b35b6240f9217a6174a543591727af
19,甘陀寺五層塔C,4,30,有名普通区域/迷宫组,5256161a379ae031fa36d92e443b8facc6c5bf1bba157417417c73af77c2faa5
20,甘陀寺五層塔D,4,30,有名普通区域/迷宫组,40e000d3de2bbd881ccac58f316a7f7661a6cacefcccc3841b996f82f33dcc35
21,蘭州城內,10,30,有名普通区域/迷宫组,befe026ed213c16d5b72dc6ee50f4a9bd6313193164e8cea2fa3874e8e1fbe2d
22,高昌沙漠迷陣,10,30,有名普通区域/迷宫组,85547f8ea1055b2ecbe335a41ec0b5b3d2388c8530a3692907c6eabe5b239622
23,莫高窟A,4,30,有名普通区域/迷宫组,75fa1be204dbba9fb357e3f176895746d8ed8977687ff078ddbbf64a6a6df8e8
24,莫高窟B,4,30,有名普通区域/迷宫组,aed3e88e07a11a217f52f37711b948177d81239ee448115ac12669569f25d183
25,樓蘭城下半部A,5,30,有名普通区域/迷宫组,f8801ec99c951e5e1ec498c85a2684e3bb80686a8e76843201b19401990cee1e
26,樓蘭城下半部C,5,30,有名普通区域/迷宫组,59bbdfb133be56038df5a8004278bc8effba4eecfcc972b71e76d734c9825fb1
27,樓蘭城下半部B,5,30,有名普通区域/迷宫组,2704d3396ce7b002c6c4803a9eb76f6ee9d9bf987942bae583b5d54ccc51c420
28,樓蘭城下半部D,5,30,有名普通区域/迷宫组,86017413f513c56c26360a0be2545e492ae76af2fee97d7212dc07808d3d3757
29,天動儀區,5,30,有名普通区域/迷宫组,7945c97be8f33f2b20774a7fb62ba4427fa8b6581637aa3fd1844509660afc1b
30,樓蘭城上半部A,5,30,有名普通区域/迷宫组,34d64143162cc83f0feebfa9d8797ba9c122b0ad5fb2f25ba42e8e526b6af838
31,樓蘭城上半部B,5,30,有名普通区域/迷宫组,5ba3ecda498072feb9078d77123a87655304ee945cebee861053e88e544f9238
32,樓蘭城上半部C,5,30,有名普通区域/迷宫组,244c0e3a179bbd1ae70249ff1c2c9a068e8d09fe74c8a1dbee1f214d8742929d
33,樓蘭城上半部D,5,30,有名普通区域/迷宫组,84dcff41bcc90790428a0710fb8a3fef27e154a946c61745264c947f41c6c3f5
34,千年前樓蘭漢軍部隊,4,30,有名普通区域/迷宫组,f3714156f68763f30b8e2ff2f7e9c0a0320b3d49fb1592bff35f067a38171b9d
35,羅喉城A,5,30,有名普通区域/迷宫组,7ade1423d0e25098cd1bd0f38167bee8b191f5c5f3c61c8cff42d9f674cb7eef
36,羅喉城B,5,30,有名普通区域/迷宫组,be5d1fb224c9b9fd18b016b767891c6feb06bd8601a68199a8e5061d9bf22412
37,羅喉城C,5,30,有名普通区域/迷宫组,903ea1996a1c92f944eecfab1a0f7401ee2117ea117428a3e1706e391308547f
38,羅喉城D,5,30,有名普通区域/迷宫组,df4761ac1fa74697fe0fe908e820d481817f5795ff748ed89cdadc989a2c6734
39,羅喉城E,5,30,有名普通区域/迷宫组,601a4a35361154077a2c4b88bd2b107f04664f1b3e438db500533ee0481c620e
