record_index,id_hex,name,selector,k_0x40,main_cost_0x34,second_cost_0x38,mode_0x18,description
301,0x12D,攝魂鬼爪,4,12,40,0,1,夏侯儀的獨門絕技，以自己魂中的幽凜之氣化為手刀攻敵，傷敵之外兼能吸取敵方魂氣。
303,0x12F,絕劍凶號,3,60,20,0,1,「絕劍」之一，以心中殺意引發劍魔「煌熇」凶號共鳴，其威力能一擊而令敵魂體半損。
304,0x130,滅劍血朧,2,30,0,30,1,以劍魔「煌熇」的厲氣化為逆命血氣，使用此技者的傷勢越重，逆命血氣之威便越強。
305,0x132,絕劍喪魂,6,30,0,70,1,引幽冥往的幽劍第二式，能以絕凜殺意看穿敵人弱點、發而破之，令敵之重甲如同無形。
306,0x131,幽劍冥引,5,20,90,0,1,冰璃的劍技，以劍風引帶無數戾魄鬼氣，令敵中招後喪魄失神，因而完全忘卻先前的行動。
307,0x133,滅劍羅淵,4,40,120,0,1,「滅劍」中最威猛的一式，能藉劍魔的煞力引動羅淵厲界，並以劍氣罡風將敵群噬殺吞滅。
308,0x134,神華天舞,4,11,30,0,1,據說是自天女的舞姿演變而來，此技能以曼妙舞姿舞動索帶，以眩目之姿盡擊陣中諸敵。
309,0x135,罡風盈索,6,15,60,0,1,將罡氣灌注於索帶之內，不獨可揮擊一直排敵人，並能以罡氣反激敵內脈氣蘊而使之麻痺。
310,0x136,紫琰飛煌,4,13,40,0,1,操擁「宿玉」者所專擅的絕技，以真元內氣封注玉內之後發而擊之，有倍於平時的破壞力。
311,0x137,潑風槍,6,15,30,0,1,古倫德的槍技之一，以剛力疾舞手中長槍潑風揚塵，斬擊眼前一橫排敵人並令其不能視物。
312,0x138,炎殺戟,4,14,0,30,1,古倫德的槍技之一，將帶有火炎之力的長槍全力打擊一個敵人。
313,0x139,猛鬼破衝,5,15,0,50,1,古倫德的槍技之一，無視敵人的防禦，有如惡鬼般突入敵陣中斬殺敵人。
314,0x13A,迴光華斬,6,40,80,0,1,古倫德的槍技之一，以自己為中心劃出一記回馬槍，威力相當強大。
315,0x13B,天將奔烈,4,50,150,0,1,古倫德的最強槍技，能以心中極意瞬間予敵無數攻擊，其威勢有如神將降臨，故得其名。
316,0x13C,紫琰飛煌,4,13,50,0,1,操擁「宿玉」者所專擅的絕技，以真元內氣封注玉內之後發而擊之，有倍於平時的破壞力。
321,0x141,連珠箭雨,4,12,20,0,1,
322,0x142,無方飛劍,6,13,30,0,1,
323,0x143,離魂喚喪,2,20,0,1,1,
325,0x145,奪魄鬼眼,4,14,60,0,1,
326,0x146,鬼顱彈,4,17,80,0,1,
328,0x148,妖光邪眼,4,12,30,0,1,
329,0x149,化血毒沫,4,12,40,0,1,
330,0x14A,蛇軀毒鑽,4,16,80,0,1,
331,0x14B,禁血蝕殺,3,50,50,0,1,
333,0x14D,剛破崩擊,6,15,50,0,1,
334,0x14E,血凅之觸,6,15,0,50,1,
337,0x151,死灼妖光,5,12,180,0,1,
341,0x155,鬼叉刃,4,15,140,0,1,
342,0x156,無方鬼影,4,18,150,0,1,
343,0x157,絕煞劍,4,20,180,0,1,
347,0x15B,鬼角馳衝,5,15,120,0,1,
348,0x15C,倀魂血咒,6,15,0,100,1,
350,0x15E,幻煞羅斬,4,22,200,0,1,
351,0x15F,死琰烈光,5,10,200,0,1,
352,0x160,封獄壞界,4,20000,10,0,1,
355,0x163,開山剛勁,6,18,50,0,1,
357,0x165,八裂旋刃,6,20,60,0,1,
358,0x166,飛星神劍,4,25,300,0,1,
362,0x16A,雲橫華山,4,20,250,0,1,
363,0x16B,猛氣破衝,4,13,220,0,1,
365,0x16D,千闇之淵,4,20000,0,10,1,
366,0x16E,朱色魔霧,6,20,200,0,1,
367,0x16F,紫色魔霧,6,20,200,0,1,
368,0x170,青色魔霧,6,20,200,0,1,
369,0x171,白色魔霧,6,20,200,0,1,
370,0x172,黑色魔霧,6,20,200,0,1,
371,0x173,九儀崩亂,4,18,200,0,1,
373,0x175,諸殺滅陣,5,25,0,200,1,
374,0x176,羅鍭煌舞,4,20,400,0,1,
375,0x177,幽寰玄壑,4,20000,300,0,1,
376,0x178,滅元斬,4,20000,300,0,1,
377,0x179,羅鍭光舞,4,30,500,0,1,
386,0x182,連珠箭雨,4,14,30,0,1,
387,0x183,無方飛劍,6,15,40,0,1,
388,0x184,鬼顱彈,4,15,50,0,1,
391,0x187,妖光邪眼,4,14,40,0,1,
392,0x188,化血毒沫,4,13,60,0,1,
393,0x189,化血毒沫,4,14,80,0,1,
394,0x18A,剛破崩擊,6,17,60,0,1,
395,0x18B,剛破崩擊,6,20,120,0,1,
396,0x18C,血凅之觸,6,18,0,60,1,
397,0x18D,血凅之觸,6,20,0,80,1,
398,0x18E,八裂旋刃,6,25,100,0,1,
400,0x190,幽寰玄壑,4,20000,400,0,1,
471,0x1D7,幽劍冥引,5,20,200,0,1,
472,0x1D8,絕劍喪魂,4,30,0,150,1,
473,0x1D9,浮光掠影,4,50,10,0,1,
474,0x1DA,兩佰雄兵,5,30,0,10,1,
