record_index,name,main_max_0x2C,main_current_0x30,product_max_times_parameter,special_cost_percent_trunc,product_fits_signed32
0,--禁用--,1000,1000,20000,200,True
1,夏侯儀,200,200,4000,40,True
2,冰璃,280,280,5600,56,True
3,封玲笙,240,240,4800,48,True
4,慕容璇璣,250,250,5000,50,True
5, 古倫德,400,400,8000,80,True
6,葛雲衣,1500,1500,30000,300,True
7,霍雍,1800,1800,36000,360,True
8,冰璃,2000,2000,40000,400,True
50,Eagle,155,155,3100,31,True
101,沙漠盜賊,250,250,5000,50,True
102,沙漠盜賊,250,250,5000,50,True
103,西夏兵,200,200,4000,40,True
104,西夏兵,200,200,4000,40,True
105,漢軍,1000,1000,20000,200,True
106,漢軍,1000,1000,20000,200,True
107,符咒師,400,400,8000,80,True
108,屍魔術士,1200,1200,24000,240,True
109,骨卒,800,800,16000,160,True
110,死靨鬼卒,1300,1300,26000,260,True
111,死刀兵,800,800,16000,160,True
112,凶骸兵,1300,1300,26000,260,True
113,巨蠍,250,250,5000,50,True
114,火紋蠍,750,750,15000,150,True
115,冰魔蠍,1400,1400,28000,280,True
116,巨蜘蛛,350,350,7000,70,True
117,鬼面花蛛,850,850,17000,170,True
118,鋼牙魔蛛,2200,2200,44000,440,True
119,沙蟲,250,250,5000,50,True
120,土魎,700,700,14000,140,True
121,礫攫,1800,1800,36000,360,True
122,兀鷹,300,300,6000,60,True
123,鬼隼,800,800,16000,160,True
124,凶鷲,2200,2200,44000,440,True
125,藍衣鐵衛,500,500,10000,100,True
126,藍衣鐵衛,500,500,10000,100,True
127,磐沙眾,350,350,7000,70,True
128,磐沙眾,350,350,7000,70,True
129,中原群豪,500,500,10000,100,True
130,中原群豪,400,400,8000,80,True
131,中原群豪,900,900,18000,180,True
132,中原群豪,800,800,16000,160,True
133,魂娑鬼炎,900,900,18000,180,True
134,朱焰魔火,1000,1000,20000,200,True
135,紫焰妖靈,1500,1500,30000,300,True
136,幽煌冥火,800,800,16000,160,True
137,狂魔,2000,2000,40000,400,True
138,羽魅,150,150,3000,30,True
139,魔血眼,600,600,12000,120,True
140,百眼翼魔,1800,1800,36000,360,True
141,化蛇,1000,1000,20000,200,True
142,血翼烏虺,1200,1200,24000,240,True
143,九環朱蝮,1700,1700,34000,340,True
145,活屍,800,800,16000,160,True
146,化魔血屍,1100,1100,22000,220,True
147,禁符鐵屍,1200,1200,24000,240,True
148,煉法玄屍,1000,1000,20000,200,True
149,荒漠沙魔,600,600,12000,120,True
150,咒石兵,1000,1000,20000,200,True
151,剛磐鬼,4000,4000,80000,800,True
152,血煉鬼,1500,1500,30000,300,True
153,噬魂鬼,3000,3000,60000,600,True
154,幽魎,3600,3600,72000,720,True
155,夜魑,1400,1400,28000,280,True
156,羅鬼,900,900,18000,180,True
157,荒蟄,1800,1800,36000,360,True
158,炎羅鬼,1500,1500,30000,300,True
159,青煞鬼,1200,1200,24000,240,True
160,赤煉鬼,3000,3000,60000,600,True
161,腐蝺,1500,1500,30000,300,True
162,屍蟲,2400,2400,48000,480,True
163,死魎,2600,2600,52000,520,True
164,百鬼魔蟲,3000,3000,60000,600,True
165,咒首蜈蚣,1500,1500,30000,300,True
166,赤殼蜈蚣,2000,2000,40000,400,True
167,冰蜈蚣,1000,1000,20000,200,True
168,刀凜鬼,1200,1200,24000,240,True
169,鋼破鬼,2000,2000,40000,400,True
170,妖將,3200,3200,64000,640,True
171,妄幻,4500,4500,90000,900,True
172,血嬰冥葵,1200,1200,24000,240,True
173,鬼吻妖蘭,3800,3800,76000,760,True
174,死藤澪花,1500,1500,30000,300,True
175,噬魂幽葛,5000,5000,100000,1000,True
176,淵吞,8000,8000,160000,1600,True
177,翯號,6700,6700,134000,1340,True
178,凜壑,6000,6000,120000,1200,True
179,薨懾,5500,5500,110000,1100,True
180,倀厲,5800,5800,116000,1160,True
181,魘首,5000,5000,100000,1000,True
182,軀聚,7500,7500,150000,1500,True
183,龐邪,9000,9000,180000,1800,True
184,杌晷,8400,8400,168000,1680,True
185,渾奇,9300,9300,186000,1860,True
186,怨忽,7800,7800,156000,1560,True
187,封豨,3000,3000,60000,600,True
188,昂昴,12000,12000,240000,2400,True
189,冱蚑,7000,7000,140000,1400,True
190,冥獨,15000,15000,300000,3000,True
198,藍衣鐵衛,1000,1000,20000,200,True
199,藍衣鐵衛,1000,1000,20000,200,True
200,西夏隊長,600,600,12000,120,True
201,赫蘭鐵罕,1000,1000,20000,200,True
202,赫蘭鐵罕,2000,2000,40000,400,True
203,赫蘭鐵罕,6000,6000,120000,1200,True
204,阿爾泰巴,1200,1200,24000,240,True
205,皇甫申,1500,1500,30000,300,True
206,皇甫申,40000,40000,800000,8000,True
208,冥皇鄲陰,8000,8000,160000,1600,True
209,周崇,35000,35000,700000,7000,True
210,朱浩,30000,30000,600000,6000,True
211,黑龍解臾,10000,10000,200000,2000,True
212,邪神饕餮,5000,5000,100000,1000,True
213,朱鬼蛬蚯,20000,20000,400000,4000,True
214,紫妖蛬蚯,22000,22000,440000,4400,True
215,青魔蛬蚯,24000,24000,480000,4800,True
216,白邪蛬蚯,26000,26000,520000,5200,True
217,黑怪蛬蚯,28000,28000,560000,5600,True
218,肓癱,60000,60000,1200000,12000,True
219,幽神羅鍭,45000,45000,900000,9000,True
220,陰歙,85000,85000,1700000,17000,True
221,陽寰,85000,85000,1700000,17000,True
222,皇甫申,50000,50000,1000000,10000,True
223,羅鍭‧陽,90000,90000,1800000,18000,True
224,羅鍭‧陰,90000,90000,1800000,18000,True
225,羅鍭‧陽,100000,100000,2000000,20000,True
226,羅鍭‧陰,100000,100000,2000000,20000,True
227,相胤,50000,50000,1000000,10000,True
228,蝕墮,4000,4000,80000,800,True
229,朧蠖,3000,3000,60000,600,True
230,召喪,3000,3000,60000,600,True
231,骸髑,2800,2800,56000,560,True
232,闇咒者,400,400,8000,80,True
233,阿瑪菲特,48000,48000,960000,9600,True
234,甦慄,2500,2500,50000,500,True
235,西夏兵,200,200,4000,40,True
236,黑龍解臾,100000,100000,2000000,20000,True
237,劍魔燁煌,80000,80000,1600000,16000,True
238,盜賊,500,500,10000,100,True
239,肓癱,40000,40000,800000,8000,True
240,赫蘭鐵罕,7000,7000,140000,1400,True
241,冥皇鄲陰,9000,9000,180000,1800,True
242,黑龍解臾,10000,10000,200000,2000,True
243,邪神饕餮,8000,8000,160000,1600,True
244,二百塊,50000,50000,1000000,10000,True
245,二百塊,60000,60000,1200000,12000,True
246,二百塊,40000,40000,800000,8000,True
247,紅衣鐵衛,600,600,12000,120,True
248,紅衣鐵衛,600,600,12000,120,True
251,敵方測試,5000,5000,100000,1000,True
252,我方測試,5000,5000,100000,1000,True
