物理记录索引,物品ID,物品ID十六进制,名称,Ail2+0x38_威力攻侧修正,Ail2+0x3C_防禦护侧修正,说明
0,0,0x0,,0,0,
1,1,0x1,護身匕首,90,0,鋒利的隨身短刀，一般人常用以護身的武器。除了輕薄易於攜帶外並沒什麼特點。
2,2,0x2,古銅懷刀,140,0,從古墓中掘出的銅製短刀，刻紋精美。雖然威力有限，但擊中要害的機率頗高。
3,3,0x3,精鋼短劍,200,0,由精鋼打造的短劍，雖較匕首沈重，但堅固鋒利，為術士所愛用。
4,4,0x4,牙雕勾劍,240,0,以大馬士革鋼打造的刀身加上象牙刀柄，就是這把頗具異國風味的彎刀，有極佳的命中率。
5,5,0x5,朱綸祭劍,300,0,在祭典儀式中所使用的短刀，對持用者靈力有著相當的增幅效果。
6,6,0x6,黑玉短刀,350,0,黑玉雕成的奇形短劍，外型古拙，有著不錯的威力。並且能夠防護黑暗力量的攻擊。
7,7,0x7,辟邪玉劍,420,0,刃身由白玉雕成的短劍，雖然不甚鋒利，但據信有辟邪之效。
8,8,0x8,紫金短劍,480,0,由削鐵如泥的紫金所打造的厚重短劍。並有化解雷電力量的特效。
9,9,0x9,封魂鬼刃,680,0,用地獄惡鬼之骨所製成的魔刀。被魔刀擊中的敵人，將被惡鬼之力所束縛。
10,10,0xA,三索蛇劍,620,0,有如三隻毒蛇所交纏而成的異形兵器，兼之鋒刃所餵之劇毒，常令敵人難以閃避。
11,11,0xB,翡翠短刀,550,0,整柄刀由具有護身奇效的綠色翡翠所雕成，能夠使持用者不被邪惡力量所侵襲。
12,12,0xC,陰陽幻刃,850,0,以玄法融封陰陽二氣的奇劍，能同時納辟凜冰烈火兩種咒術之力，並具防止寒冰封體之能。
13,13,0xD,封儀祭劍,690,0,刻有奇異的渦捲條紋，用來行使儀法的高級祭劍。擊中的同時可將敵人的靈力封印。
14,14,0xE,血髓劍,760,0,具有生命力的妖劍，在白玉般的劍身中所透出的血髓，將吸盡敵人的精血。
15,15,0xF,九煉邪刃,900,-100,充滿邪靈恐怖力量的短劍，不但讓持有者狂暴，更會吞噬敵人的靈魂轉化成力量。
16,16,0x10,計都荒寰,990,0,掌控著月蝕之力的幽界奇兵，敵人將陷入永劫的黑暗與寂靜，難以躲避致命的攻擊。
17,17,0x11,凜日神刀,1300,0,日蝕之力的絕對象徵，燃燒著黑炎的焚天之刃，帶有君臨雙界的至高魔力。
18,18,0x12,,0,0,
19,19,0x13,,0,0,
20,20,0x14,,0,0,
21,21,0x15,長劍,120,0,江湖上常見的長刃兵器，非常易於使用，有劈刺挑點等多種變化。
22,22,0x16,青釭劍,180,0,外泛綠光的精鐵名曰青釭。用這精鐵青釭打造的長劍要比尋常長劍鋒利許多。
23,23,0x17,沈碧劍,260,0,據說在煉鐵鑄劍時混入碧晶，可使劍身的鐵胎更韌，鋒利與堅固俱增。
24,24,0x18,飛虹劍,370,0,因為劍身透有五彩光澤，故有飛虹之名的薄身長劍。舞動起來相當輕快，毫不遲滯。
25,25,0x19,紫金劍,400,0,紫金素具辟邪之能，混入紫金打造的長劍乃是除魔之士愛用的武器。
26,26,0x1A,靈劍朱雀,500,0,傳說中四方聖獸之一的朱雀幻化而成的神劍，劍身通紅，舞動奇速。
27,27,0x1B,鬼斬刃,540,0,昔日為斬鬼而打造的大劍，沈重無鋒，只有身懷神力之士才能舞動。
28,28,0x1C,玄鐵劍,750,0,玄鐵極沈重且無堅不摧，以此打造的重劍不但威力卓絕也極為罕見。
29,29,0x1D,雷熒劍,630,0,劍刃閃爍藍紫色雷光的神兵，劈擊敵人時紫電灼然，兼具使敵體身受電灼麻痺之效。
30,30,0x1E,荒劍化魄,690,0,以天外異石封入五荒化魄煉製的奇劍，不獨外型怪異，本身也具有各種奇異之效。
31,31,0x1F,冰魄雲緲,790,0,劍身剔透如冰，周圍縈繞寒緲霧氣的奇劍，不但輕捷鋒利，且具以寒氣封凍敵體之能。
32,32,0x20,紅蓮劫焰,900,0,傳說是天界神兵之一的火劍，其外常有紅蓮血焰飄捲，兼具刃擊與辟火逐炎之能。
33,33,0x21,幽煌羅劍,950,0,散發黑色靈氣的紫黑色奇形巨劍，並非出於凡人之手，據說曾是地界某著名魔將的兵器。
34,34,0x22,邪煌霸劍,990,-90,與九儀天尊之劍相提並論的天下第一邪劍，會驅使持取者一昧狂攻妄擊，因而疏於護禦。
35,35,0x23,古劍龍皇,1090,0,劍身上印鑄龍形的威猛古劍，據說是古時用來辟邪除魔的神兵利器，其力能撼動天地。
36,36,0x24,幻劍煌熇,2000,0,『燁煌』與『煌熇』兩把幻劍融合後的真正姿態，是幽神羅鍭以明荒絕煞封鑄的至烈之劍。
37,37,0x25,紫金劍,200,-100,高老丈的遺物，是由少見的紫金所鑄的重劍，可惜劍身已經破損，無法再承受劇戰的損耗。
38,38,0x26,幻劍煌熇,1100,0,當初由於戾性過重無法控制，被羅鍭神自幻劍分離出去的『形』，是幻劍的真力所在。
39,39,0x27,古劍龍形,410,0,形似古劍龍皇的偽物，威力和真品自然是天差地遠，但據說其中也藏有未知的祕密。
40,40,0x28,,0,0,
41,41,0x29,白絹索帶,100,0,封鈴笙慣用的奇門兵器，雖是尋常的絹索但亦柔亦剛，兼可遠擊敵手。
42,42,0x2A,素綢靈索,150,0,以未染的生絲所織的綢索，不但質輕堅韌，更具有驅凶辟邪之力。
43,43,0x2B,黃纏明錦,220,0,由素染亮黃的細錦交纏而成的索帶，輕柔軟韌，較尋常索帶更易使用。
44,44,0x2C,紫絹金索,320,0,紫色素有辟邪之效，以金絲混紡後倍加堅韌，更利揮舞遠擊。
45,45,0x2D,銀華月緞,360,0,月白色的淡藍緞子，表面微映藍白色的珍珠光澤，質地堅韌靈動，是一般索帶中的極品。
46,46,0x2E,冰蠶玉帶,440,0,由珍罕的冰蠶絲織成的純白索帶，揮動之時寒氣隨帶四散，亦稍具吸取凜氣之能。
47,47,0x2F,破魔朱綾,500,0,施過淨法清禊、上繡經文的朱紅綾索，當作索帶舞擲之時，對妖魔之屬有意想不到的效果。
48,48,0x30,凝玉紗索,650,0,乍看之下和尋常亮紗類似，其實是以無數細小玉塊交串而成，雖較沈重但威力亦強。
49,49,0x31,火浣銀紗,580,0,由天界珍物火浣紗織成的索帶，耐火而堅韌，對妖物也極是有效。
50,50,0x32,天瑞珠索,700,0,織串有多種辟邪珠翠的珠索，威力極強，但較沈重而不易揮使。
51,51,0x33,縛魂黑鎖,740,0,據說是由無數人髮織續而成的妖異索帶，本身帶有極強的怨念，能令對手身遭定縛之效。
52,52,0x34,雷絳紋帛,800,0,以獨特織紋集引雷煌咒力的神異帛索，揮舞時能以雷灼使敵麻痺，兼具辟雷避電之能。
53,53,0x35,瓏華千紗,880,0,極細極薄、宛如無物的半透明紗索，其上映有千百色澤，令對手目眩神馳，頓失心念靈智。
