逻辑槽编号,子对象指针偏移,优先级,RoleDefinition字段偏移,39槽runtime索引,selector,经0x46A668可反链raw effect ID,全分支不命中时selector,作者业务名状态
0,+0x598,1,+0x1E8,0,1,21,0,UNKNOWN（禁止仅凭图标强命名）
0,+0x598,2,+0x23C,21,12,0,0,UNKNOWN（禁止仅凭图标强命名）
1,+0x59C,1,+0x1FC,5,2,24,0,UNKNOWN（禁止仅凭图标强命名）
1,+0x59C,2,+0x248,24,3,5,0,UNKNOWN（禁止仅凭图标强命名）
2,+0x5A0,1,+0x1F4,3,7,22,0,UNKNOWN（禁止仅凭图标强命名）
2,+0x5A0,2,+0x240,22,6,3,0,UNKNOWN（禁止仅凭图标强命名）
3,+0x5A4,1,+0x1F8,4,17,23,0,UNKNOWN（禁止仅凭图标强命名）
3,+0x5A4,2,+0x244,23,4,4,0,UNKNOWN（禁止仅凭图标强命名）
4,+0x5A8,1,+0x200,6,14,25,0,UNKNOWN（禁止仅凭图标强命名）
4,+0x5A8,2,+0x24C,25,13,6,0,UNKNOWN（禁止仅凭图标强命名）
5,+0x5AC,1,+0x204,7,10,26,0,UNKNOWN（禁止仅凭图标强命名）
5,+0x5AC,2,+0x250,26,11,7,0,UNKNOWN（禁止仅凭图标强命名）
6,+0x5B0,1,+0x1EC,1,5,,0,UNKNOWN（禁止仅凭图标强命名）
7,+0x5B4,1,+0x1F0,2,18,,0,UNKNOWN（禁止仅凭图标强命名）
8,+0x5B8,1,+0x224,15,8,10,0,UNKNOWN（禁止仅凭图标强命名）
8,+0x5B8,2,+0x210,10,19,15,0,UNKNOWN（禁止仅凭图标强命名）
9,+0x5BC,1,+0x214,11,20,,0,UNKNOWN（禁止仅凭图标强命名）
10,+0x5C0,1,+0x21C,13,21,,0,UNKNOWN（禁止仅凭图标强命名）
11,+0x5C4,1,+0x220,14,9,,0,UNKNOWN（禁止仅凭图标强命名）
12,+0x5C8,1,+0x228,16,16,,0,UNKNOWN（禁止仅凭图标强命名）
13,+0x5CC,1,+0x20C,9,22,,0,UNKNOWN（禁止仅凭图标强命名）
