ID,名称,机器class_0x18,公式selector_0x30,参数K_0x40,结果模式_0x44,兼容业务族,平坦参数_0x4C,主结果权重_0x54,次结果权重_0x58,作者说明
0x000,--禁用--,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x001,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x002,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x003,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x004,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x005,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x006,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x007,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x008,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x009,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x00A,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x00B,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x00C,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x00D,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x00E,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x00F,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x010,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x011,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x012,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x013,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x014,,0,0,0,0,常规直接结果公式族,0,100,0,
0x015,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x016,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x017,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x018,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x019,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x01A,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x01B,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x01C,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x01D,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x01E,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x01F,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x020,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x021,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x022,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x023,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x024,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x025,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x026,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x027,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x028,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x029,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x02A,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x02B,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x02C,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x02D,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x02E,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x02F,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x030,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x031,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x032,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x033,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x034,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x035,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x036,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x037,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x038,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x039,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x03A,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x03B,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x03C,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
