访问类型,指令VA,观察口径,码值,当前入口可达,说明
写入,0x0041F117,FightRole+0xCE4,0xBB9,是,FightRole初始化
写入,0x0042012B,FightRole+0xCE4,0xBB9,是,结果/动作链复位
写入,0x004203C4,FightRole+0xCE4,0xBB9,是,结果/动作链复位
写入,0x00420EF6,FightRole+0xCE4,0xBBB,是,FIRTTECH结果应用mode0入口
写入,0x00420FAD,FightRole+0xCE4,0xBB9,是,FIRTTECH结果应用mode1入口
写入,0x00421456,FightRole+0xCE4,0xBB9,是,目标结果处理复位
写入,0x004214C9,FightRole+0xCE4,0xBBE,是,目标结果处理进入BBE
写入,0x00421B84,FightRole+0xCE4,0xBB9,是,特殊分支复位
写入,0x00423242,FightRole+0xCE4,0xBB9,是,角色处理结束复位
写入,0x00444E9A,FightRole+0xCE4,0xBB9,是,外层角色资源/状态清理
写入,0x00442F2F,角色锚点+0x10C8,0xBC1,是,Battle分支写BC1
写入,0x00443394,角色锚点+0x10C8,0xBC0,是,class5真实可达写入
写入,0x004433A5,角色锚点+0x10C8,0xBC6,是,class6真实可达写入
写入,0x004433B6,角色锚点+0x10C8,0xBC7,否,字面存在；入口class4已提前跳走
写入,0x004433C2,角色锚点+0x10C8,0xBBB,是,普通非1/2/4/5/6默认写入
写入,0x00443427,角色锚点+0x10C8,0xBBC,是,class1/2/4共享写入
写入,0x0044349E,角色锚点+0x10C8,0xBBE,是,独立动作入口写BBE
写入,0x0044354C,角色锚点+0x10C8,0xBC1,是,独立动作入口写BC1
写入,0x00442ACA,Battle+0x10D0局部指针-8,0xBBA,是,EDI在0x442A98装入0xBBA；0x442ACA写[ESI-8]
写入,0x00442B44,Battle+0x10D0局部指针-8,0xBB9,是,BBE且相邻状态为0x7D1时回写BB9
写入,0x00442C12,Battle+0x10C8数组指针+0,0xBB9,是,BBC满足回收条件时回写BB9
读取/比较,0x004214FD,FightRole+0xCE4,0xBC6,是,class6第一结果DWORD归零门
读取/比较,0x004222F7,FightRole+0xCE4,0xBBB/0xBC1,是,三条相邻资源/表现路径之一
读取/比较,0x0042231C,FightRole+0xCE4,0xBBB/0xBC1,是,三条相邻资源/表现路径之二
读取/比较,0x00422342,FightRole+0xCE4,0xBBB/0xBC1,是,三条相邻资源/表现路径之三
读取/比较,0x00422580,FightRole+0xCE4,0xBBB,是,角色可行动谓词
读取/比较,0x00422678,FightRole+0xCE4,0xBB9/0xBBA/0xBBB/0xBBE/0xBBF/0xBC0/0xBC4/0xBC5/0xBC6,是,队伍级状态白名单
读取/比较,0x00422706,FightRole+0xCE4,0xBB9/0xBBA/0xBBE/0xBBF/0xBC6,是,无来源依赖时的目标状态白名单
读取/比较,0x00422744,FightRole+0xCE4,0xBBB,是,有来源依赖时比较来源角色状态；比较值由EBP=0xBBB提供
读取/比较,0x004227AE,FightRole+0xCE4,0xBB9/0xBBA/0xBBE/0xBBF/0xBC0/0xBC4/0xBC5/0xBC6,是,全角色状态白名单
读取/比较,0x00422801,FightRole+0xCE4,0xBBB/0xBC0,是,来源角色状态检查
读取/比较,0x00422B44,FightRole+0xCE4,0xBBE,是,每目标动作分派局部布尔
读取/比较,0x00423741,FightRole+0xCE4,0xBC6/0xBBE,是,0x72/0x6C/0x6D动作请求选择
读取/比较,0x00445FEA,FightRole+0xCE4,0xBC0,是,角色候选/缓存构建排除
读取/比较,0x00442B75,角色锚点+索引*0xDE4+0x10C8,0xBBD/0xBBC/0xBC1,是,当前活动角色结束/保留门
读取/比较,0x00442E9E,角色锚点+0x10C8,0xBBB,是,Battle分派分支0
读取/比较,0x00442EFD,角色锚点+0x10C8,0xBBB,是,Battle分派分支1
读取/比较,0x00442F51,角色锚点+0x10C8,0xBBB,是,Battle分派默认分支
读取/比较,0x004430E5,角色锚点+索引*0xDE4+0x10C8,0xBBB,是,索引角色状态消费者
读取/比较,0x00442ACD,Battle+0x10D0局部指针-8,0xBBA,是,BBA分支保持0x68请求
读取/比较,0x00442AF5,Battle+0x10D0局部指针-8,0xBB9,是,BB9分支保持0x67请求
读取/比较,0x00442B21,Battle+0x10D0局部指针-8,0xBBE,是,BBE且相邻0x7D1时请求0x67并回BB9
读取/比较,0x00442BF8,Battle+0x10C8数组指针+0,0xBBC,是,BBC条件回收扫描
读取/比较,0x00442FAC,Battle+0x10C8数组指针+0,0xBBB,是,来源标记为FA0时的局部扫描
读取/比较,0x00442D0E,Battle+0x10C8数组指针+0,0xBC0/0xBC6,是,通用7D6到7D1收尾保留门
别名建立,0x00442BEB,Battle+0x10C8数组首指针,-,是,按0xDE4步进16槽
别名建立,0x00442F94,Battle+0x10C8数组首指针,-,是,按0xDE4步进16槽
反向别名,0x00442CD3,state_pointer-0xCE4=FightRole,-,是,作为this调用0x420440
假阳性,0x0045AB88,disp8+imm32,0x0C,否,不是[base+0xCE4]
