地址,名称,证据级别,固化10说明
0x0040AC00,Map SCI 0x473记录Loader,A,按0x473前进源record，按0x38构造runtime entry
0x00408E80,Map SCI runtime entry parser,A,entry+0保存源Map SCI record*
0x0040ADA0,Map SCI runtime entries updater,A,selected entry→0x409580；其余→0x409510
0x0040AE50,selected Map SCI runtime entry accessor,A,base + selected_index*0x38
0x0040AE70,first Map SCI runtime entry accessor,A,返回entry array base
0x0040A0C0,MapSCI+0x380 accessor,A,entry->source_record+0x380
0x0040A0D0,MapSCI+0x384 accessor,A,entry->source_record+0x384
0x0040CCC2,MapSCI+0x380 consumer,A,first entry +0x380，DataCenter+0x108=1-value
0x0040CEE9,MapSCI+0x384 code12 consumer,A,selected entry +0x384
0x0040CEEE,code12 MapSCI gate compare,A,要求+0x384==1
0x0040CEF9,code12 fallback Event activation,A,Event ID3=current EVE slot2
0x00434B10,DataCenter+0x108 consumer A,A,非零UI/元素创建分支
0x00435C66,DataCenter+0x108 consumer B,A,为零时UI状态分支
0x0040D715,DataCenter+0x108 independent writer,A,证明+0x108不是+0x380专属镜像
0x00409580,selected Map SCI runtime entry active update,A,固化9 saved Event输入失效链的上层对象已识别
0x00468484,Map SCI默认路径字符串,A,MP0000\MPMP0000.SCI
